loan_amnt,term,int_rate,annual_inc,dti,home_ownership,grade
26050.0, 60 months,7.91,82300.0,12.5,MORTGAGE,A
10100.0, 60 months,9.17,113000.0,3.18,MORTGAGE,B
2500.0, 36 months,13.44,16727.0,21.39,OWN,C
12000.0, 60 months,14.85,96000.0,17.9,OWN,C
17000.0, 36 months,8.49,75000.0,23.63,RENT,B
11450.0, 60 months,19.89,54000.0,12.28,MORTGAGE,E
23000.0, 36 months,8.49,100000.0,12.35,OWN,B
20000.0, 36 months,11.99,160000.0,13.98,RENT,C
30000.0, 36 months,13.99,100000.0,22.62,RENT,C
8425.0, 36 months,12.88,39000.0,14.18,MORTGAGE,C
8000.0, 36 months,9.8,31000.0,11.03,MORTGAGE,B
17950.0, 60 months,17.97,98000.0,3.35,MORTGAGE,D
21500.0, 36 months,12.88,170000.0,20.25,MORTGAGE,C
15000.0, 36 months,9.76,83000.0,30.89,MORTGAGE,B
4000.0, 36 months,13.67,63000.0,24.69,RENT,C
7200.0, 36 months,6.24,50000.0,14.52,RENT,A
4000.0, 36 months,16.59,20100.0,18.99,RENT,D
12000.0, 36 months,9.17,45000.0,11.97,MORTGAGE,B
17500.0, 36 months,10.64,85000.0,32.3,RENT,B
23000.0, 60 months,16.55,50000.0,28.47,OWN,D
6000.0, 36 months,11.99,85000.0,32.5,MORTGAGE,C
24000.0, 36 months,7.49,111000.0,16.42,RENT,A
35000.0, 60 months,17.97,150000.0,25.11,MORTGAGE,D
19775.0, 60 months,15.41,43000.0,24.25,MORTGAGE,D
6000.0, 36 months,10.64,31500.0,17.9,OWN,B
7500.0, 36 months,6.99,80000.0,10.26,MORTGAGE,A
2000.0, 36 months,10.78,76000.0,18.84,OWN,B
15000.0, 36 months,11.48,65000.0,2.01,MORTGAGE,B
25000.0, 36 months,13.44,70000.0,22.15,RENT,C
14400.0, 60 months,18.99,85000.0,21.76,OWN,E
7200.0, 36 months,14.85,55000.0,10.84,RENT,C
16000.0, 36 months,10.78,52688.0,30.8,OWN,B
2000.0, 36 months,13.99,46000.0,33.0,RENT,C
4000.0, 36 months,9.17,49000.0,12.93,MORTGAGE,B
18000.0, 60 months,9.8,75000.0,17.12,RENT,B
15000.0, 60 months,11.99,65000.0,7.9,OWN,C
6950.0, 36 months,13.99,20000.0,24.13,MORTGAGE,C
7200.0, 36 months,17.27,20000.0,13.21,OWN,D
13750.0, 36 months,16.59,27500.0,36.36,MORTGAGE,D
20000.0, 36 months,8.49,70000.0,12.51,RENT,B
16800.0, 36 months,7.26,65000.0,10.3,RENT,A
13000.0, 36 months,11.99,112000.0,12.08,MORTGAGE,C
9600.0, 36 months,9.17,150000.0,5.54,MORTGAGE,B
9200.0, 36 months,16.99,23000.0,24.5,RENT,D
25000.0, 36 months,12.88,207000.0,5.43,RENT,C
12000.0, 36 months,7.26,55000.0,17.93,RENT,A
6450.0, 36 months,18.99,22000.0,15.88,RENT,E
35000.0, 36 months,16.59,83000.0,25.52,RENT,D
12000.0, 60 months,13.44,106000.0,10.18,OWN,C
32000.0, 36 months,12.88,160000.0,22.83,OWN,C
5000.0, 36 months,10.78,56000.0,15.5,RENT,B
15600.0, 36 months,10.78,120000.0,7.4,MORTGAGE,B
9000.0, 36 months,15.77,28000.0,12.39,MORTGAGE,D
7200.0, 36 months,12.88,100000.0,16.94,RENT,C
24000.0, 36 months,7.49,200000.0,17.9,MORTGAGE,A
9000.0, 36 months,6.49,54000.0,28.22,MORTGAGE,A
5000.0, 36 months,11.48,20000.0,24.85,RENT,B
6000.0, 36 months,11.99,100000.0,13.82,RENT,C
3600.0, 36 months,11.22,55000.0,19.86,MORTGAGE,B
6000.0, 36 months,5.32,43000.0,20.37,RENT,A
28000.0, 60 months,22.45,93000.0,17.73,RENT,F
25825.0, 60 months,26.06,68000.0,31.68,RENT,F
25000.0, 36 months,10.78,75000.0,25.07,RENT,B
12500.0, 36 months,8.49,75300.0,13.61,RENT,B
21000.0, 36 months,14.85,67000.0,36.24,OWN,C
11500.0, 36 months,7.91,65000.0,21.94,RENT,A
3000.0, 36 months,11.22,60000.0,31.24,MORTGAGE,B
7000.0, 36 months,11.99,43000.0,14.12,OWN,C
20000.0, 60 months,14.85,75000.0,11.68,MORTGAGE,C
22000.0, 36 months,6.99,230000.0,13.6,MORTGAGE,A
24200.0, 60 months,18.99,57668.0,31.52,RENT,E
5000.0, 36 months,9.17,45000.0,18.23,MORTGAGE,B
22000.0, 36 months,6.99,95000.0,13.03,MORTGAGE,A
28000.0, 36 months,7.91,81185.0,18.92,OWN,A
6400.0, 36 months,17.57,31944.0,22.28,MORTGAGE,D
17600.0, 36 months,17.27,40000.0,26.35,OWN,D
5000.0, 36 months,8.49,25000.0,13.63,OWN,B
8000.0, 36 months,9.76,170000.0,34.88,MORTGAGE,B
35000.0, 36 months,7.26,87000.0,8.39,MORTGAGE,A
8000.0, 36 months,7.89,80000.0,12.93,RENT,A
15000.0, 36 months,15.77,52000.0,18.3,MORTGAGE,D
29000.0, 36 months,6.49,110000.0,7.79,RENT,A
8000.0, 36 months,10.64,55000.0,10.23,MORTGAGE,B
8000.0, 36 months,11.99,73000.0,30.82,MORTGAGE,C
14400.0, 60 months,13.99,91000.0,20.86,RENT,C
2950.0, 36 months,11.99,22000.0,16.58,MORTGAGE,C
35000.0, 36 months,17.57,140000.0,13.34,RENT,D
6025.0, 36 months,9.76,36000.0,17.55,RENT,B
4500.0, 36 months,11.99,65000.0,22.75,RENT,C
21000.0, 60 months,13.44,105000.0,11.37,RENT,C
7000.0, 36 months,6.99,80000.0,10.86,MORTGAGE,A
15000.0, 60 months,12.88,90000.0,21.17,RENT,C
5000.0, 36 months,18.49,38000.0,22.96,OWN,D
8500.0, 36 months,7.89,42500.0,24.12,OWN,A
8000.0, 36 months,9.17,90000.0,24.84,MORTGAGE,B
4000.0, 36 months,14.48,80000.0,26.0,RENT,C
2400.0, 36 months,11.48,60000.0,24.14,MORTGAGE,B
20000.0, 36 months,7.49,80000.0,20.16,MORTGAGE,A
35000.0, 60 months,13.44,86000.0,18.2,RENT,C
5000.0, 36 months,5.32,125000.0,8.19,MORTGAGE,A
15000.0, 36 months,5.32,69214.5,17.44,OWN,A
20000.0, 36 months,13.44,65000.0,16.91,OWN,C
35000.0, 60 months,16.59,137500.0,34.26,MORTGAGE,D
35000.0, 36 months,13.99,139000.0,17.73,RENT,C
12000.0, 60 months,13.44,35000.0,29.8,RENT,C
20000.0, 60 months,12.88,55000.0,19.7,OWN,C
17025.0, 36 months,18.99,62000.0,32.11,OWN,E
7200.0, 36 months,11.48,69460.0,22.98,RENT,B
9000.0, 36 months,11.48,42000.0,31.46,MORTGAGE,B
15000.0, 36 months,11.99,46000.0,19.65,MORTGAGE,C
2000.0, 36 months,13.44,42536.0,29.35,OWN,C
15950.0, 60 months,13.99,65000.0,33.15,RENT,C
34550.0, 60 months,14.85,72000.0,15.61,RENT,C
15000.0, 36 months,11.48,52000.0,27.18,OWN,B
28000.0, 36 months,6.89,180000.0,13.29,MORTGAGE,A
12000.0, 60 months,12.88,92000.0,9.94,MORTGAGE,C
9000.0, 36 months,11.99,76000.0,21.51,OWN,C
10000.0, 36 months,5.32,73500.0,3.67,RENT,A
7000.0, 36 months,9.76,71000.0,11.78,RENT,B
10000.0, 36 months,13.99,85000.0,6.38,OWN,C
25500.0, 60 months,18.99,51000.0,7.65,MORTGAGE,E
20000.0, 36 months,11.48,55000.0,19.88,RENT,B
3150.0, 36 months,18.49,92000.0,25.45,OWN,D
12000.0, 60 months,18.99,65000.0,18.91,RENT,E
10000.0, 36 months,9.8,48000.0,24.33,RENT,B
15000.0, 36 months,13.99,122000.0,26.31,MORTGAGE,C
2500.0, 36 months,9.17,50000.0,25.16,RENT,B
9000.0, 36 months,6.49,60000.0,17.52,MORTGAGE,A
25600.0, 60 months,9.17,84000.0,12.39,RENT,B
12700.0, 36 months,17.97,32760.0,34.32,RENT,D
12800.0, 60 months,13.18,62000.0,15.06,MORTGAGE,C
12000.0, 36 months,6.89,93000.0,28.23,MORTGAGE,A
12000.0, 36 months,11.48,56000.0,11.23,RENT,B
14000.0, 36 months,11.99,60000.0,28.14,RENT,C
18000.0, 36 months,13.44,120000.0,11.86,MORTGAGE,C
3600.0, 36 months,11.99,57000.0,12.55,MORTGAGE,C
15000.0, 36 months,8.49,56000.0,16.95,MORTGAGE,B
15500.0, 36 months,11.99,55000.0,12.63,MORTGAGE,C
8150.0, 36 months,19.99,30000.0,28.28,RENT,E
10000.0, 36 months,11.99,47000.0,17.31,MORTGAGE,C
15000.0, 36 months,9.17,95000.0,3.21,RENT,B
24000.0, 60 months,11.99,58000.0,22.02,MORTGAGE,C
29400.0, 60 months,18.99,70000.0,22.14,RENT,E
15000.0, 36 months,9.8,60000.0,19.95,RENT,B
10000.0, 36 months,10.78,70000.0,20.28,RENT,B
10000.0, 36 months,10.64,67000.0,33.37,MORTGAGE,B
35000.0, 60 months,21.48,118000.0,29.68,MORTGAGE,E
2800.0, 36 months,17.27,114400.0,6.34,RENT,D
12000.0, 36 months,5.32,110000.0,13.58,RENT,A
30000.0, 36 months,13.67,70000.0,27.11,RENT,C
27000.0, 60 months,14.85,150000.0,22.68,MORTGAGE,C
2500.0, 36 months,17.57,95000.0,26.38,MORTGAGE,D
5000.0, 36 months,12.88,49500.0,13.81,OWN,C
30000.0, 36 months,15.77,180000.0,13.79,OWN,D
5000.0, 36 months,9.17,55000.0,15.67,RENT,B
2500.0, 36 months,21.99,99829.0,19.24,MORTGAGE,F
20000.0, 36 months,9.17,100000.0,26.37,MORTGAGE,B
35000.0, 60 months,13.44,120000.0,10.9,MORTGAGE,C
23000.0, 60 months,21.48,50000.0,39.44,RENT,E
26475.0, 60 months,21.48,84000.0,20.14,RENT,E
35000.0, 36 months,13.67,190000.0,16.0,MORTGAGE,C
10000.0, 36 months,9.17,120000.0,6.17,RENT,B
11000.0, 36 months,9.17,69000.0,21.34,MORTGAGE,B
2500.0, 36 months,16.55,33000.0,24.0,MORTGAGE,D
35000.0, 36 months,11.99,112000.0,14.2,RENT,C
26600.0, 60 months,23.99,64000.0,34.43,RENT,F
20000.0, 60 months,13.99,105000.0,8.7,RENT,C
5000.0, 36 months,12.88,80000.0,18.05,OWN,C
30000.0, 36 months,10.78,70000.0,22.99,MORTGAGE,B
18000.0, 36 months,9.17,70000.0,9.05,MORTGAGE,B
8400.0, 36 months,10.78,70000.0,17.4,MORTGAGE,B
18000.0, 36 months,7.49,75000.0,25.65,MORTGAGE,A
14400.0, 60 months,11.48,46000.0,20.06,MORTGAGE,B
12000.0, 36 months,8.49,30000.0,20.12,RENT,B
24000.0, 36 months,7.49,107000.0,15.15,RENT,A
12000.0, 36 months,5.32,134000.0,6.65,MORTGAGE,A
15000.0, 36 months,12.88,94000.0,13.21,MORTGAGE,C
23650.0, 60 months,16.59,87000.0,15.68,RENT,D
7000.0, 36 months,9.8,32000.0,26.26,RENT,B
18000.0, 36 months,12.88,120000.0,29.13,MORTGAGE,C
10000.0, 36 months,16.59,65000.0,17.26,MORTGAGE,D
8400.0, 36 months,9.17,42000.0,18.36,RENT,B
15000.0, 60 months,11.99,50000.0,12.48,RENT,C
26400.0, 60 months,17.57,118000.0,9.54,RENT,D
30000.0, 36 months,11.22,350000.0,6.92,RENT,B
4750.0, 36 months,13.18,13200.0,29.64,RENT,C
11000.0, 36 months,7.91,77000.0,28.73,MORTGAGE,A
28000.0, 60 months,9.17,85000.0,23.15,RENT,B
5500.0, 36 months,11.99,37000.0,21.15,RENT,C
5000.0, 36 months,12.88,36000.0,16.63,RENT,C
5000.0, 36 months,5.32,80000.0,0.75,RENT,A
10000.0, 36 months,8.38,61000.0,22.2,RENT,B
12000.0, 60 months,9.8,36500.0,18.91,MORTGAGE,B
15000.0, 60 months,15.77,79950.0,24.05,RENT,D
6600.0, 36 months,19.48,240000.0,7.04,MORTGAGE,E
9100.0, 36 months,6.49,84000.0,15.57,RENT,A
5000.0, 36 months,5.32,60000.0,8.68,RENT,A
6000.0, 36 months,12.59,65000.0,21.38,RENT,C
17600.0, 36 months,23.13,40000.0,39.23,RENT,F
10000.0, 60 months,14.85,125000.0,9.33,MORTGAGE,C
14400.0, 36 months,6.49,70000.0,16.32,MORTGAGE,A
10000.0, 36 months,8.38,78000.0,10.88,MORTGAGE,B
25000.0, 60 months,14.85,60000.0,20.48,MORTGAGE,C
23000.0, 60 months,11.99,82994.0,7.45,MORTGAGE,C
6000.0, 36 months,14.85,22200.0,12.05,RENT,C
25000.0, 36 months,7.49,56000.0,21.15,OWN,A
8150.0, 36 months,7.91,42200.0,16.41,MORTGAGE,A
30250.0, 36 months,11.99,96000.0,27.66,MORTGAGE,C
28750.0, 36 months,17.27,70000.0,24.19,MORTGAGE,D
7750.0, 36 months,9.8,54500.0,29.02,MORTGAGE,B
20000.0, 36 months,5.32,165000.0,15.74,MORTGAGE,A
11500.0, 36 months,11.48,25000.0,20.4,RENT,B
13000.0, 36 months,6.24,56000.0,16.91,MORTGAGE,A
10000.0, 36 months,9.8,40000.0,19.43,MORTGAGE,B
6000.0, 36 months,11.99,76000.0,26.73,MORTGAGE,C
2600.0, 36 months,11.48,89512.0,13.06,RENT,B
16800.0, 60 months,24.24,65000.0,20.5,RENT,F
9500.0, 36 months,7.91,48000.0,13.32,MORTGAGE,A
19200.0, 36 months,15.77,40000.0,21.15,RENT,D
12000.0, 36 months,11.99,45000.0,25.68,RENT,C
25000.0, 60 months,21.48,65000.0,16.84,RENT,E
16650.0, 36 months,10.78,70000.0,21.4,OWN,B
15000.0, 36 months,11.48,45000.0,33.81,OWN,B
5000.0, 36 months,15.77,55000.0,30.15,MORTGAGE,D
8000.0, 36 months,13.44,36504.0,30.77,RENT,C
15000.0, 36 months,7.26,70000.0,10.78,MORTGAGE,A
17400.0, 60 months,8.49,175000.0,7.04,MORTGAGE,B
9225.0, 36 months,21.48,40500.0,24.68,RENT,E
6100.0, 36 months,11.48,75000.0,15.04,MORTGAGE,B
20000.0, 36 months,6.49,75000.0,21.62,OWN,A
15000.0, 60 months,13.18,60000.0,10.86,MORTGAGE,C
20000.0, 36 months,11.22,85000.0,8.74,RENT,B
9600.0, 36 months,5.32,74500.0,19.89,MORTGAGE,A
12000.0, 60 months,15.77,33500.0,6.06,RENT,D
21000.0, 60 months,13.44,80256.0,12.29,RENT,C
12000.0, 36 months,9.17,102000.0,9.54,MORTGAGE,B
35000.0, 60 months,24.24,117000.0,16.82,MORTGAGE,F
14825.0, 60 months,21.48,50000.0,15.89,MORTGAGE,E
16275.0, 60 months,17.97,36180.0,35.19,RENT,D
16000.0, 60 months,13.44,42000.0,9.6,RENT,C
9000.0, 36 months,9.17,80000.0,9.81,RENT,B
7200.0, 36 months,17.27,34800.0,20.72,RENT,D
2500.0, 36 months,8.49,38000.0,28.11,MORTGAGE,B
6275.0, 36 months,14.85,70000.0,20.01,RENT,C
26250.0, 60 months,13.99,65000.0,26.9,MORTGAGE,C
6000.0, 36 months,7.91,65000.0,23.06,MORTGAGE,A
11200.0, 36 months,5.32,80000.0,17.65,MORTGAGE,A
5250.0, 36 months,15.77,66000.0,17.71,MORTGAGE,D
10575.0, 36 months,13.44,23000.0,22.39,RENT,C
5000.0, 36 months,13.18,75000.0,37.01,MORTGAGE,C
20000.0, 60 months,12.59,85000.0,21.08,RENT,C
8000.0, 36 months,13.99,80000.0,19.74,MORTGAGE,C
23000.0, 60 months,17.86,50000.0,28.92,MORTGAGE,D
6000.0, 36 months,11.48,61000.0,28.49,MORTGAGE,B
5000.0, 36 months,7.26,77000.0,20.0,MORTGAGE,A
6000.0, 36 months,9.76,72000.0,24.36,MORTGAGE,B
10925.0, 36 months,19.48,84000.0,17.59,RENT,E
16000.0, 60 months,9.17,50000.0,19.96,MORTGAGE,B
9500.0, 36 months,7.49,49000.0,12.69,MORTGAGE,A
13000.0, 60 months,8.49,80000.0,21.45,OWN,B
5000.0, 36 months,11.99,69000.0,22.64,RENT,C
10000.0, 36 months,9.8,63000.0,12.11,MORTGAGE,B
19200.0, 36 months,6.99,80000.0,17.52,OWN,A
35000.0, 36 months,8.49,90000.0,13.36,OWN,B
13500.0, 36 months,23.13,50000.0,25.3,RENT,F
10000.0, 60 months,11.48,55000.0,24.61,RENT,B
15000.0, 60 months,18.49,48000.0,18.75,OWN,D
10000.0, 36 months,17.97,65000.0,8.51,RENT,D
16800.0, 36 months,10.78,55000.0,16.34,MORTGAGE,B
20000.0, 60 months,17.27,65000.0,29.21,MORTGAGE,D
10000.0, 60 months,11.48,81000.0,11.73,MORTGAGE,B
34000.0, 36 months,15.77,118000.0,16.49,MORTGAGE,D
35000.0, 60 months,13.99,108000.0,35.9,MORTGAGE,C
20000.0, 36 months,10.78,82988.0,13.01,RENT,B
15200.0, 36 months,9.8,55000.0,16.07,RENT,B
18000.0, 60 months,14.85,60000.0,27.58,OWN,C
7000.0, 36 months,16.99,76529.0,6.35,MORTGAGE,D
11900.0, 60 months,13.44,34000.0,34.7,MORTGAGE,C
33000.0, 36 months,6.89,70000.0,16.27,MORTGAGE,A
19275.0, 36 months,11.99,66685.0,29.62,MORTGAGE,C
8000.0, 36 months,7.91,48500.0,7.75,RENT,A
15600.0, 36 months,7.89,75000.0,19.27,OWN,A
20000.0, 36 months,11.99,170000.0,15.9,MORTGAGE,C
5500.0, 36 months,6.49,47000.0,16.32,RENT,A
3000.0, 36 months,6.99,80000.0,7.9,RENT,A
1925.0, 36 months,9.76,80000.0,2.19,RENT,B
8000.0, 36 months,10.78,35000.0,8.2,RENT,B
2500.0, 36 months,14.85,32000.0,16.73,RENT,C
6000.0, 36 months,13.99,91000.0,20.82,OWN,C
35000.0, 36 months,14.85,125000.0,15.9,MORTGAGE,C
7000.0, 36 months,11.99,75000.0,20.24,MORTGAGE,C
15000.0, 36 months,15.41,80000.0,36.77,RENT,D
5000.0, 36 months,5.32,70000.0,6.62,OWN,A
4800.0, 36 months,12.88,50000.0,18.87,RENT,C
28000.0, 36 months,5.32,150000.0,13.66,MORTGAGE,A
8200.0, 36 months,16.59,79000.0,0.76,MORTGAGE,D
7000.0, 36 months,6.99,68000.0,15.14,OWN,A
12000.0, 36 months,13.44,42600.0,3.38,OWN,C
6000.0, 36 months,22.45,25000.0,31.88,RENT,F
4000.0, 36 months,11.99,37000.0,29.29,RENT,C
12000.0, 60 months,15.41,81000.0,27.78,MORTGAGE,D
12000.0, 60 months,9.8,110000.0,11.79,MORTGAGE,B
5175.0, 36 months,13.99,46000.0,21.16,RENT,C
10000.0, 36 months,8.49,51000.0,13.06,MORTGAGE,B
26600.0, 60 months,25.09,70000.0,21.53,OWN,F
12000.0, 36 months,10.78,81900.0,11.59,RENT,B
7000.0, 36 months,7.91,70000.0,6.94,MORTGAGE,A
5000.0, 36 months,11.48,11520.0,21.46,RENT,B
5500.0, 36 months,9.76,51000.0,18.47,RENT,B
35000.0, 36 months,9.76,88476.0,15.2,MORTGAGE,B
5000.0, 36 months,16.59,19000.0,14.28,RENT,D
15000.0, 36 months,9.8,90000.0,33.75,RENT,B
12000.0, 60 months,18.99,50000.0,21.87,RENT,E
9000.0, 36 months,11.99,41000.0,34.95,RENT,C
5500.0, 36 months,12.88,31368.0,29.84,RENT,C
15000.0, 36 months,7.49,58729.0,8.7,MORTGAGE,A
8000.0, 36 months,9.76,42000.0,19.71,RENT,B
10000.0, 36 months,12.59,110000.0,3.05,RENT,C
9275.0, 36 months,11.99,55000.0,24.13,RENT,C
6025.0, 36 months,13.67,90000.0,38.4,MORTGAGE,C
12000.0, 60 months,11.48,76000.0,4.38,RENT,B
4000.0, 36 months,12.88,56000.0,17.47,RENT,C
10000.0, 36 months,5.32,50000.0,10.37,OWN,A
5000.0, 36 months,11.99,50000.0,10.13,RENT,C
25000.0, 36 months,6.49,120000.0,9.41,RENT,A
23975.0, 60 months,13.99,60000.0,32.42,MORTGAGE,C
8000.0, 36 months,9.76,140000.0,23.91,MORTGAGE,B
10000.0, 36 months,6.49,80000.0,4.38,OWN,A
35000.0, 36 months,11.99,205000.0,20.61,MORTGAGE,C
15000.0, 36 months,10.78,65000.0,22.58,OWN,B
17000.0, 36 months,9.17,50000.0,11.45,MORTGAGE,B
12125.0, 36 months,17.97,27577.0,38.16,OWN,D
7500.0, 36 months,8.49,60000.0,4.5,OWN,B
4000.0, 36 months,11.99,77500.0,33.6,MORTGAGE,C
8000.0, 36 months,9.17,60000.0,23.1,MORTGAGE,B
6000.0, 36 months,13.18,100000.0,8.98,OWN,C
35000.0, 36 months,13.99,100000.0,19.43,RENT,C
17000.0, 60 months,9.17,38000.0,24.48,OWN,B
6125.0, 36 months,17.27,70000.0,17.36,RENT,D
16000.0, 36 months,6.49,60000.0,25.02,RENT,A
15000.0, 36 months,10.64,46000.0,26.4,RENT,B
12525.0, 36 months,13.99,33000.0,33.09,OWN,C
6300.0, 36 months,6.89,45000.0,10.8,RENT,A
15575.0, 36 months,16.59,124800.0,18.38,RENT,D
25000.0, 36 months,7.89,90000.0,26.73,MORTGAGE,A
3500.0, 36 months,16.59,50000.0,36.68,MORTGAGE,D
6000.0, 36 months,12.88,21000.0,29.14,MORTGAGE,C
12000.0, 36 months,7.49,75000.0,24.94,RENT,A
22000.0, 36 months,9.8,80000.0,12.08,RENT,B
25000.0, 36 months,8.49,135000.0,22.37,MORTGAGE,B
6000.0, 36 months,11.22,60000.0,2.4,MORTGAGE,B
15000.0, 60 months,12.88,44952.0,23.89,MORTGAGE,C
17100.0, 36 months,19.89,57000.0,17.79,RENT,E
8000.0, 36 months,11.48,48000.0,17.18,RENT,B
9350.0, 36 months,15.77,50000.0,14.74,RENT,D
8400.0, 36 months,11.48,51330.0,30.09,RENT,B
22075.0, 36 months,22.45,69000.0,26.83,RENT,F
6000.0, 36 months,17.57,26100.0,11.69,RENT,D
20000.0, 60 months,12.88,65000.0,16.93,RENT,C
16000.0, 36 months,11.99,120000.0,22.71,RENT,C
15000.0, 36 months,15.77,50000.0,3.41,RENT,D
35000.0, 36 months,8.49,100000.0,5.49,MORTGAGE,B
24000.0, 36 months,8.49,107000.0,16.23,OWN,B
8000.0, 36 months,11.99,22000.0,28.92,OWN,C
21000.0, 60 months,12.88,174000.0,5.71,RENT,C
30000.0, 36 months,13.18,77300.0,2.87,OWN,C
5000.0, 36 months,13.44,30000.0,35.56,OWN,C
5500.0, 36 months,11.22,36000.0,18.87,RENT,B
14400.0, 36 months,10.64,98000.0,28.1,OWN,B
10000.0, 36 months,9.17,54000.0,26.71,RENT,B
7000.0, 36 months,11.99,60000.0,26.08,RENT,C
25000.0, 60 months,9.8,85000.0,14.78,RENT,B
24150.0, 36 months,13.99,134641.49,14.94,MORTGAGE,C
17600.0, 36 months,7.91,40000.0,15.45,RENT,A
14000.0, 36 months,6.49,40000.0,14.27,MORTGAGE,A
24000.0, 36 months,11.99,68000.0,26.09,OWN,C
15700.0, 60 months,11.99,61000.0,15.64,MORTGAGE,C
11200.0, 60 months,19.48,40000.0,25.98,MORTGAGE,E
2500.0, 36 months,9.17,100000.0,8.9,MORTGAGE,B
10000.0, 60 months,11.48,55000.0,22.74,MORTGAGE,B
6400.0, 36 months,13.18,50000.0,30.48,MORTGAGE,C
35000.0, 60 months,13.18,110000.0,37.83,RENT,C
15000.0, 36 months,10.64,180000.0,24.87,MORTGAGE,B
35000.0, 36 months,11.99,105000.0,38.07,MORTGAGE,C
14000.0, 36 months,11.99,110000.0,15.97,RENT,C
8400.0, 36 months,9.17,100000.0,8.0,OWN,B
9000.0, 36 months,7.91,75000.0,16.99,OWN,A
18000.0, 36 months,13.99,36000.0,6.53,RENT,C
9800.0, 36 months,11.22,36000.0,5.73,RENT,B
22500.0, 36 months,13.67,51142.0,25.95,RENT,C
8000.0, 36 months,10.64,59000.0,17.88,MORTGAGE,B
14000.0, 36 months,16.99,75000.0,20.56,MORTGAGE,D
3600.0, 36 months,14.85,62200.0,20.48,RENT,C
18000.0, 36 months,9.8,150000.0,13.79,MORTGAGE,B
35000.0, 60 months,17.97,80000.0,17.94,RENT,D
5000.0, 36 months,16.59,25000.0,27.08,RENT,D
18800.0, 36 months,13.67,47000.0,32.02,RENT,C
10800.0, 36 months,12.88,69000.0,18.37,MORTGAGE,C
7675.0, 36 months,11.48,35000.0,10.12,OWN,B
8500.0, 36 months,10.78,55040.0,9.18,MORTGAGE,B
12000.0, 60 months,7.91,75000.0,6.4,MORTGAGE,A
13250.0, 60 months,18.49,59000.0,31.63,MORTGAGE,D
4600.0, 36 months,17.97,15396.0,2.96,RENT,D
25625.0, 60 months,25.09,91600.0,25.39,MORTGAGE,F
5000.0, 36 months,11.99,44268.0,20.36,MORTGAGE,C
33600.0, 60 months,19.89,80000.0,30.66,RENT,E
10000.0, 36 months,13.99,80000.0,16.44,MORTGAGE,C
21000.0, 36 months,5.32,218000.0,16.64,MORTGAGE,A
10800.0, 36 months,13.44,60000.0,27.64,RENT,C
30000.0, 36 months,7.49,107111.0,13.09,MORTGAGE,A
